カスタムリーダー,名前,ユーザ名,バトルタグ,参加形態,duoの場合の相方,,第一希望ロール,第二希望ロール,第三希望ロール,タンクのレート,ダメージのレート,サポートのレート,CS,インフルエンサー,配信NG,Aブロック,Bブロック,Cブロック,Dブロック
FALSE,とも,tomo0723,tomo#31216,デュオ,rukumi,FALSE,サポート,,,,,2300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,夕羅#3191,デュオ,ラブコック,FALSE,ダメージ,,,,1900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Maotan,Maotan#0721,Maotan#11798,デュオ,瓜果めろん,FALSE,サポート,,,,,1000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Z_AK_II,z_ak_ii,ZAKII#11391,ソロ,,FALSE,サポート,,,,,3500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,諸星イット,morohoshiitt,諸星イット#3716,ソロ,,FALSE,サポート,,,,,1100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,うーちゃん,uuuuuchan,uuuuuchan#3502,ソロ,,FALSE,タンク,,,2300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,春風　らんと,azalea4005,春風らんとｖｔ#3538,ソロ,,FALSE,サポート,,,,,2100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ヤタ,yata1996,ヤタ#3302,デュオ,はる,FALSE,ダメージ,,,,3700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かなりある,177417,CANA77#1916,デュオ,愛美,FALSE,ダメージ,,,,2000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,SAMUELJONSON,saaaaaaassassss,SAMUELJONSON#1319,デュオ,geji,FALSE,サポート,,,,,1300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ArGl,ru_na_chi,るなちー#3528,ソロ,,FALSE,タンク,,,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,kaumigo,kaumigo,kaumigo#1720,ソロ,,FALSE,タンク,,,4400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぶひ,buhibuhiunti,汚染品超合金天使#1833,ソロ,,FALSE,サポート,,,,,3800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,せいじろ,sayjrow,せいじろ#1886,ソロ,,FALSE,サポート,,,,,1500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,猫兎いく,nekotoiku,ねこおいしい#1565,デュオ,あうを,FALSE,タンク,,,1100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あると,.4ruto_22534,ToxicDog#3708,ソロ,,FALSE,サポート,,,,,2000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,,,ななしくん,ソロ,,FALSE,サポート,,,,,4300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,Kirby#12192,ソロ,,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
